CBCSbatch_id,arm,HIT_Cellpaiting Y/N,HIT_Antiviral AB Y/N,HIT_Phospholipidosis  Y/N,CP_Result,AntiviralAB_Result,CPE_Antiviral_Response dose 1,CPE_Antiviral_Response dose 2,CPE_Antiviral_Response dose 3,CPE_Antiviral_Response dose 4,CPE_Antiviral_Response dose 5,PL_Result,tanimoto,analog_to_CBCSbatch_id
DI1231693,analog,,,,,,,,,,,,0.8504435994930292,BJ1897437
AC2245150,analog,,,,,,,,,,,,0.750390015600624,BJ1897640
XX0044888,analog,,,,,,,,,,,,0.7572663000785546,BJ1897640
XX0018966,analog,,,,,,,,,,,,0.7635893011216566,BJ1897640
XX0017006,analog,,,,,,,,,,,,0.7640984908657665,BJ1897640
AC2244949,analog,,,,,,,,,,,,0.7659574468085106,BJ1897640
AC2244673,analog,,,,,,,,,,,,0.7688564476885644,BJ1897640
AC2244349,analog,,,,,,,,,,,,0.7704654895666132,BJ1897640
AC4704351,analog,,,,,,,,,,,,0.771382893685052,BJ1897640
AC2244415,analog,,,,,,,,,,,,0.7721417069243156,BJ1897640
XX0018278,analog,,,,,,,,,,,,0.7745571658615137,BJ1897640
DI1220585,analog,,,,,,,,,,,,0.7761194029850746,BJ1897640
DI1224391,analog,,,,,,,,,,,,0.7775974025974026,BJ1897640
XX0017003,analog,,,,,,,,,,,,0.778675282714055,BJ1897640
AC2245344,analog,,,,,,,,,,,,0.7790322580645161,BJ1897640
XX0017005,analog,,,,,,,,,,,,0.7806873977086743,BJ1897640
XX0019414,analog,,,,,,,,,,,,0.7815810920945395,BJ1897640
AC2244411,analog,,,,,,,,,,,,0.7818930041152263,BJ1897640
AC2244364,analog,,,,,,,,,,,,0.783003300330033,BJ1897640
AC2244399,analog,,,,,,,,,,,,0.7837171052631579,BJ1897640
AC2244400,analog,,,,,,,,,,,,0.7843775427176566,BJ1897640
XX0018204,analog,,,,,,,,,,,,0.7867768595041322,BJ1897640
XX0018002,analog,,,,,,,,,,,,0.7898671096345515,BJ1897640
XX0018967,analog,,,,,,,,,,,,0.7909090909090909,BJ1897640
AC2244383,analog,,,,,,,,,,,,0.7909698996655519,BJ1897640
AC2244382,analog,,,,,,,,,,,,0.7921207041072925,BJ1897640
BA1031910,analog,,,,,,,,,,,,0.7924217462932455,BJ1897640
AC2244388,analog,,,,,,,,,,,,0.7933333333333333,BJ1897640
AC2244357,analog,,,,,,,,,,,,0.7934508816120907,BJ1897640
AC2244356,analog,,,,,,,,,,,,0.7944630872483222,BJ1897640
AC2244410,analog,,,,,,,,,,,,0.7945091514143094,BJ1897640
AC2244403,analog,,,,,,,,,,,,0.7963118189438391,BJ1897640
AC2244408,analog,,,,,,,,,,,,0.803265306122449,BJ1897640
BJ1802273,analog,,,,,,,,,,,,0.7558247903075489,BJ1896133
XX0028161,analog,,,,,,,,,,,,0.7572614107883817,BJ1896133
XX0017318,analog,,,,,,,,,,,,0.7719821162444114,BJ1894657
XX0029081,analog,,,,,,,,,,,,0.8037518037518038,BJ1894657
176271073,analog,,,,,,,,,,,,0.8401486988847584,BJ1894101
176272311,analog,,,,,,,,,,,,0.7743813682678311,BJ1896858
DD4386006,antiviral_control,,,,,,,,,,,,,
DI1202001,antiviral_control,,,,,,,,,,,,,
DO8167002,antiviral_control,,,,,,,,,,,,,
[flup],cp_control,,,,,,,,,,,,,
[etop],cp_control,,,,,,,,,,,,,
[fenb],cp_control,,,,,,,,,,,,,
[stau],cp_control,,,,,,,,,,,,,
DMSO,solvent_control,,,,,,,,,,,,,
